Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
STEVE WEARNE,"Director, Global Affairs",2020-07-28,2020-07-28,London,Inter-governmental meeting,,126.25,,,,126.25,
STEVE WEARNE,"Director, Global Affairs",2020-09-14,2020-09-14,London,Stakeholder Engagement,,111.05,,,,111.05,
