Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
HEATHER HANCOCK LVO,Chairman,2017-07-03,2017-07-05,London,Official Meetings ,,188.5,25.76,318.5,,532.76,
HEATHER HANCOCK LVO,Chairman,2017-07-10,2017-07-12,London,Official Meetings / Speaker at conference ,,255,35.76,286.75,,577.51,
HEATHER HANCOCK LVO,Chairman,2017-07-17,2017-07-19,London,Official Meetings / Speaker at conference ,,188.5,36.57,313.7,,538.77,
HEATHER HANCOCK LVO,Chairman,2017-07-20,2017-07-20,London,Oyster card Top-up,,20,,,,20,
HEATHER HANCOCK LVO,Chairman,2017-08-09,2017-08-10,London,Official Meetings ,486.08,15,92,129.3,,722.38,
HEATHER HANCOCK LVO,Chairman,2017-08-14,2017-08-16,London,Official Meetings ,,76,36.26,327.25,,439.51,
HEATHER HANCOCK LVO,Chairman,2017-08-18,2017-08-18,London,Oyster card Top-up,,20,,,,20,
HEATHER HANCOCK LVO,Chairman,2017-08-21,2017-08-22,Dolydd / Caermafon,Stakeholder Event ,,,157.5,65,,222.5,
HEATHER HANCOCK LVO,Chairman,2017-07-28,2017-07-30,London,Official Meetings,,255,27.76,279.25,,562.01,
HEATHER HANCOCK LVO,Chairman,2017-09-04,2017-09-06,London,Official Meetings,,110.6,15.76,315.5,17.6,459.46,
HEATHER HANCOCK LVO,Chairman,2017-09-11,2017-09-14,London,Official Meetings / Stakeholder Event,,188.5,32.76,531.75,,753.01,
HEATHER HANCOCK LVO,Chairman,2017-09-14,2017-09-14,London,Oyster card Top-up,,20,,,,20,
HEATHER HANCOCK LVO,Chairman,2017-09-19,2017-09-20,Belfast,FSA Board Meeting,138.86,,97.5,197.5,,433.86,
HEATHER HANCOCK LVO,Chairman,2017-09-26,2017-09-27,London / Cardiff,Official Meeting ,,375.1,23.76,23.02,44.04,465.92,
LAURA SANDYS,Deputy Chairman,2017-09-19,2017-09-20,Belfast,FSA Board Meeting,141.47,,,195,,336.47,
DAVID BROOKS,Board Member,2017-09-05,2017-09-05,London,Internal Meetings,,,35,,,35,
DAVID BROOKS,Board Member,2017-09-19,2017-09-20,Belfast,FSA Board Meeting,101.98,34.7,17.2,195,,348.88,
RAM GIDOOMAL CBE,Board Member ,2017-09-19,2017-09-20,Belfast,FSA Board Meeting,117.69,,,195,,312.69,
ROSIE GLAZEBROOK,Board Member,2017-07-05,2017-07-05,London,Internal Meeting,,5.3,,,,5.3,
ROSIE GLAZEBROOK,Board Member,2017-09-19,2017-09-20,Belfast,FSA Board Meeting,70.28,,48.3,201.15,,319.73,
STEWART HOUSTON,Board Member,2017-07-04,2017-07-04,London,Internal Meetings,,166,36.2,,,202.2,
STEWART HOUSTON,Board Member,2017-09-19,2017-09-20,Belfast,FSA Board Meeting,171.7,,65.7,195,,432.4,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2017-09-06,2017-09-06,North Wales,Internal Meeting,,,80.75,,,80.75,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2017-09-13,2017-09-14,Cardiff,Internal Meeting,,60.8,,85.6,,146.4,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2017-09-19,2017-09-20,Belfast,FSA Board Meeting,50.46,,85.7,195,,331.16,
DR RUTH HUSSEY,Board Member for Wales and Chair of the Welsh Food Advisory Committee,2017-09-26,2017-09-27,Cardiff,Internal Meeting,,,,129.6,,129.6,
COLM MCKENNA,Board Member for Northern Ireland and Chair of the Northern Ireland Food Advisory Committee,2017-07-10,2017-07-10,Belfast,Internal Meetings,,,11.7,,,11.7,
COLM MCKENNA,Board Member for Northern Ireland and Chair of the Northern Ireland Food Advisory Committee,2017-07-24,2017-07-24,Belfast,Internal Meetings,,,11.7,,,11.7,
COLM MCKENNA,Board Member for Northern Ireland and Chair of the Northern Ireland Food Advisory Committee,2017-08-23,2017-08-23,Belfast,Internal Meetings,,,11.7,,,11.7,
COLM MCKENNA,Board Member for Northern Ireland and Chair of the Northern Ireland Food Advisory Committee,2017-08-31,2017-08-31,Moira,Stakeholder Visit,,,9.9,,,9.9,
COLM MCKENNA,Board Member for Northern Ireland and Chair of the Northern Ireland Food Advisory Committee,2017-09-13,2017-09-13,Antrim,Stakeholder Visit,,,20.7,,,20.7,
COLM MCKENNA,Board Member for Northern Ireland and Chair of the Northern Ireland Food Advisory Committee,2017-09-19,2017-09-20,Belfast,FSA Board Meeting,,,40.9,,,40.9,
MARY QUICKE,Board Member ,2017-09-18,2017-09-19,Belfast,FSA Board Meeting,69.98,,20,204.95,,294.93,
PAUL WILLIAMS,Board Member,2017-08-30,2017-08-30,London,Internal Meeting,,50.1,,,,50.1,
PAUL WILLIAMS,Board Member,2017-09-18,2017-09-19,Belfast,FSA Board Meeting,49.98,,68,195,,312.98,
