Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-09-20,2016-09-21,London,FSA Board Meeting,,,94.4,183.05,,277.45,
Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-09-21,2016-09-22,Cardiff,Stakeholder Visit,,72.6,4.3,85.6,,162.5,
Ruth Hussey,Board Member and Chair of Welsh Food Advisory Committee (term started July 2016),2016-09-27,2016-09-27,London,Stakeholder Visit,,217.7,10,,,227.7,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee (term started September 2016),2016-09-01,2016-09-01,London,Official Meetings,78.63,35.9,29.6,,,144.13,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee (term started September 2016),2016-09-02,2016-09-02,Belfast,Advisory Committee Meeting,,,11.7,,,11.7,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee (term started September 2016),2016-09-02,2016-09-02,Belfast,Advisory Committee Meeting,,,11.7,,,11.7,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee (term started September 2016),2016-09-20,2016-09-21,London,FSA Board Meeting,84.28,31.1,29.99,178.8,,324.17,
Colm McKenna,Board Member and Chair of Northern Ireland Food Advisory Committee (term started September 2016),2016-09-27,2016-09-27,London,Stakeholder Visit,199.96,4.8,37.45,,,242.21,
Heather Peck,Board Member,2016-07-12,2016-07-13,London,FSA Board Meeting,,35.6,54,155.3,,244.9,
Heather Peck,Board Member,2016-07-25,2016-07-25,London,Stakeholder Event,,35.6,24,,,59.6,
Heather Peck,Board Member,2016-09-20,2016-09-21,London,FSA Board Meeting,,51,52.1,178.8,,281.9,
Dr Paul Williams,Board Member,2016-07-12,2016-07-13,London,FSA Board Meeting,,52.5,,143,,195.5,
Dr Paul Williams,Board Member,2016-07-14,2016-07-14,London,Official Meeting,,29.4,,,,29.4,
Dr Paul Williams,Board Member,2016-07-26,2016-07-26,Heathrow,Stakeholder Visit,,,56.7,,,56.7,
Dr Paul Williams,Board Member,2016-09-13,2016-09-13,Guilford,Stakeholder Visit,,,52.2,,,52.2,
Dr Paul Williams,Board Member,2016-09-20,2016-09-21,London,FSA Board Meeting,,,52.5,178.8,,231.3,
